Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Browne,850,France,Female,66,0,127120.62,0,1,118929.64,1
Barton,578,France,Male,39,2,0,1,0,70563.9,0
Boyle,666,France,Female,36,3,129118.5,0,0,139435.12,0
Moretti,599,France,Female,43,4,0,1,0,170347.1,0
Ukaegbulam,586,France,Female,46,0,0,0,1,131553.82,1
Nwankwo,825,France,Female,36,3,146053.66,1,1,138344.7,0
Niu,808,Spain,Female,67,10,124577.15,0,1,169894.4,0
Hsu,515,Spain,Male,29,4,151012.55,1,0,9770.97,0
Shaw,663,Spain,Female,58,5,216109.88,0,1,74176.71,1
Ho,444,France,Male,34,2,144318.97,1,0,112668.06,0
Christie,650,France,Female,39,4,0,0,0,186275.7,0
Onwuemelie,609,France,Male,26,7,0,1,0,98463.99,0
Ch'ang,824,France,Male,77,3,27517.15,0,1,2746.41,0
Clendinnen,662,France,Male,29,5,147092.65,1,0,10928.3,0
Onyemauchechi,699,France,Female,51,2,92246.14,0,1,91346.03,0
Crawford,752,France,Female,41,8,0,1,0,139844.04,1
Mellor,603,France,Female,40,8,148897.02,0,0,105052.9,0
Rizzo,628,Spain,Male,50,8,0,0,0,144366.83,1
Christie,745,France,Female,36,9,0,1,0,19605.18,1
Watkins,804,France,Female,33,10,138335.96,1,1,80483.76,0
Ojiofor,454,France,Female,50,10,92895.56,1,0,154344,1
Tung,631,Spain,Male,46,9,160736.63,0,1,93503.02,0
McKay,503,France,Male,32,4,0,1,1,153036.97,0
Meng,548,France,Female,37,9,0,0,0,98029.58,0
Hussain,668,France,Male,28,4,107141.27,1,0,193018.71,0
Mactier,619,France,Female,55,0,0,0,0,60810.64,1
Hsueh,842,France,Female,37,4,132446.08,1,0,87071.18,1
Nnachetam,707,France,Female,57,1,92053,1,1,164064.44,1
Barnes,715,Spain,Male,38,2,96798.79,1,1,4554.67,0
Christie,573,France,Male,35,9,134498.54,1,1,119924.8,0
Lipton,509,France,Male,55,8,132387.91,1,1,170360.11,0
Yu,670,France,Female,40,2,147171.2,0,1,69850.04,0
Storey,613,Spain,Male,44,9,100524.69,1,1,47298.95,0
Read,678,France,Female,26,1,0,1,0,45443.68,0
Levy,555,France,Female,51,9,138214.5,1,0,198715.27,1
Chiu,777,France,Female,30,4,0,0,1,115611.97,0
Moore,552,Spain,Male,55,3,0,1,1,40333.94,0
Amies,640,Spain,Male,39,3,0,1,1,105997.25,0
Tsao,541,France,Male,34,3,128743.55,1,0,134851.12,0
Rowley,756,France,Male,31,10,122647.32,0,0,61666.87,0
Aliyev,684,Spain,Female,24,9,79263.9,0,1,196574.48,0
Riley,618,France,Female,42,2,0,0,0,111097.39,1
Toscano,604,France,Female,53,2,121389.78,1,1,48201.64,1
Oluchukwu,624,Spain,Male,38,7,123906.55,1,0,135096.78,0
Fu,661,Spain,Male,38,7,143006.7,1,1,15650.89,0
Warner,627,Spain,Female,28,3,157597.61,0,1,34097.22,0
Fleming,812,Spain,Male,38,3,127117.8,1,1,174822.74,0
Ch'iu,473,France,Female,39,9,117103.26,1,1,85937.52,1
Langler,717,Spain,Male,36,2,102989.83,0,1,49185.57,0
Angelo,693,Spain,Male,28,1,145118.83,0,1,77742.38,0
T'ien,705,France,Male,92,1,126076.24,1,1,34436.83,0
Milani,661,France,Male,41,5,0,0,1,88279.6,0
Pye,573,France,Female,27,4,0,1,1,157549.6,0
Asher,639,France,Male,37,5,98186.7,0,1,173386.95,0
Chung,718,France,Female,67,7,0,1,1,82782.08,0
Yudin,570,France,Male,37,6,0,1,1,187758.5,0
Arcuri,461,France,Female,40,7,0,1,0,176547.8,0
Capon,638,France,Female,33,5,129335.65,1,1,56585.2,1
Piccio,608,Spain,Male,48,7,75801.74,1,0,125762.95,0
Lung,599,Spain,Male,42,6,0,1,0,113868.4,0
Trevisan,762,France,Female,44,7,159316.64,0,0,24780.13,0
John,662,France,Female,38,2,96479.81,1,0,120259.41,0
Anayolisa,747,France,Male,29,7,117726.33,1,1,175398.34,0
Ritchie,539,France,Male,39,6,0,1,1,86767.48,0
Ch'eng,625,France,Male,43,4,122351.29,1,0,71216.6,0
Macleod,656,France,Female,48,9,0,1,1,85240.61,1
Boyle,469,France,Female,48,5,0,1,0,160529.71,1
Chukwuemeka,621,Spain,Female,43,8,0,0,0,102806.6,0
Bryant,754,France,Female,27,7,0,1,0,144134.64,0
Hackett,679,France,Female,50,6,132598.38,1,1,184017.98,0
Kovaleva,535,France,Male,38,2,119272.29,0,0,195896.59,1
Reed,487,France,Male,37,2,0,1,1,126722.57,0
Major,850,France,Female,42,3,0,1,1,176883.42,0
Lo,585,France,Male,55,10,106415.57,1,1,122960.98,1
Hanson,603,France,Male,31,4,0,0,1,9607.1,0
Ogbonnaya,728,France,Female,32,9,127772.1,1,1,152643.48,0
Windsor,621,Spain,Male,41,5,104631.67,1,1,95551.22,0
Calabrese,833,France,Male,30,1,0,1,0,141860.62,0
Keating,502,France,Male,37,10,0,1,1,76642.68,0
Costa,825,France,Male,37,6,118050.79,0,1,52301.15,0
Tan,668,France,Male,46,0,0,0,0,29388.02,0
Ma,487,Spain,Female,40,6,136093.74,0,1,193408.43,0
Martin,600,France,Female,39,7,88477.36,1,0,58632.37,0
Halpern,606,Spain,Male,34,3,161572.24,0,1,191076.22,0
Nyhan,623,France,Male,50,7,126608.37,0,1,645.61,1
Jackson,575,France,Female,54,9,68332.96,1,1,144390.75,0
Reynolds,577,Spain,Male,48,6,179852.26,1,0,193580.32,0
Tai,651,France,Female,25,8,0,1,1,126761.2,0
Trevisani,693,France,Male,46,2,104763.41,1,1,62368.33,0
Uwakwe,800,France,Male,60,6,88541.57,1,1,131718.12,0
Kerr,760,France,Male,38,6,162888.73,1,0,91098.76,1
Findlay,711,France,Female,35,8,0,1,1,67508.01,0
Ugorji,637,Spain,Male,43,8,0,1,0,12156.93,1
Balashova,662,France,Male,32,9,0,0,0,65089.38,0
Cheng,568,France,Female,44,7,0,0,0,62370.67,1
Martin,692,France,Female,30,7,0,1,1,18826.34,0
Skinner,614,France,Female,35,1,0,1,1,3342.62,0
McDonald,478,France,Male,35,1,92474.05,1,0,178626.07,0
Dellucci,562,France,Male,36,6,0,1,0,32845.32,0
Reynolds,709,France,Male,30,9,115479.48,1,1,134732.99,0
Birdsall,684,France,Female,26,5,87098.91,0,0,106095.82,0
Tsai,546,France,Female,42,9,86351.85,1,0,57380.13,0
Oguejiofor,779,France,Female,42,5,0,0,0,25951.91,0
Mackie,576,France,Male,63,3,148843.56,1,0,69414.13,1
Jamieson,481,France,Male,44,3,163714.52,1,0,96123.72,0
Mai,445,France,Male,25,6,0,1,0,119425.94,0
Patterson,606,Spain,Male,36,0,94153.56,0,1,120138.27,0
Taylor,559,France,Male,50,5,162702.35,0,0,150548.5,1
Vinogradoff,608,France,Female,56,10,129255.2,1,0,142492.04,1
North,698,France,Male,41,3,90605.29,1,1,14357,0
Carter,568,Spain,Male,39,5,0,1,1,129569.92,0
Graham,528,France,Male,29,3,102787.42,1,0,55972.56,0
Noble,802,France,Female,39,7,120145.96,0,1,59497.01,1
Walker,669,France,Male,47,0,63723.78,1,1,181928.25,0
Chibugo,581,Spain,Female,24,10,159203.71,1,1,102517.83,1
Yobachi,640,France,Male,38,9,0,1,0,88827.67,0
Ignatyeva,529,Spain,Female,44,1,0,0,0,14161.3,0
Chiemela,547,France,Female,51,1,0,1,1,56908.41,0
Pokrovskaya,718,France,Female,49,10,0,1,0,184474.72,1
Storey,707,France,Male,34,9,162691.16,1,0,94912.78,0
Moroney,735,France,Male,43,9,127806.91,1,1,73069.59,0
Maslov,765,France,Male,43,9,157960.49,0,0,136602.8,0
Chukwueloka,469,France,Female,52,8,139493.25,0,0,150093.32,1
Chu,594,France,Female,21,2,87096.82,1,0,168186.11,0
Spence,675,France,Female,34,10,84944.58,0,0,146230.63,0
Mills,703,France,Male,50,8,160139.59,1,1,79314.1,0
Doyle,810,France,Male,33,6,0,1,1,77965.67,0
Donnelly,715,Spain,Male,42,6,0,1,1,128745.69,0
Tai,664,France,Male,40,9,0,1,0,194767.3,0
Abbott,850,France,Male,29,6,0,1,1,10672.54,0
Perez,724,France,Male,36,6,94615.11,1,1,10627.21,0
Hsiung,563,France,Male,30,7,90727.79,1,0,122268.75,0
Cherkasova,714,France,Male,26,3,119545.48,1,0,65482.94,0
Denisov,614,France,Male,36,1,118311.76,1,0,146134.68,0
Fowler,740,France,Male,33,1,129574.98,1,1,123300.38,0
Siciliano,587,France,Male,33,8,148163.57,0,0,122925.4,0
Crocker,465,France,Male,24,5,117154.9,1,1,127744.02,0
Longo,689,Spain,Female,40,5,154251.67,0,1,118319.5,0
Polyakova,656,France,Male,30,3,0,0,1,17104,0
Brown,579,France,Female,33,1,65667.79,0,0,164608.98,0
Uspensky,716,France,Female,44,1,0,1,1,152108.47,0
O'Meara,551,France,Male,42,1,50194.59,1,1,23399.58,0
Cantamessa,527,France,Female,39,9,96748.89,1,0,94711.43,0
Alexander,600,France,Female,37,4,0,1,0,7312.25,1
Chinagorom,685,France,Female,43,1,132667.17,1,1,41876.98,0
Tomlinson,738,Spain,Male,36,5,0,1,1,96881.32,0
Lo,622,France,Male,41,2,127087.06,1,0,102402.91,1
Nwachukwu,528,France,Male,34,1,125566.9,1,1,176763.27,0
Yang,546,France,Female,52,1,106074.89,1,1,23548.45,1
Bage,576,France,Male,46,4,137367.94,1,1,33450.11,0
Marcelo,733,France,Female,38,3,157658.36,0,0,19658.43,0
Ofodile,727,France,Male,45,6,114422.85,1,1,104678.78,1
Savage,605,Spain,Male,41,5,103154.66,0,0,143203.78,0
Piccio,586,France,Male,33,9,0,1,0,6975.02,0
Simmons,564,Spain,Female,24,6,149592.14,1,1,153771.8,0
DeRose,593,France,Female,48,3,133903.12,1,1,85902.39,1
Onuchukwu,736,France,Female,26,0,84587.9,0,1,188037.76,0
Goodwin,675,Spain,Male,32,8,197436.82,1,1,52710.7,0
Teakle,656,Spain,Female,32,1,104254.27,1,1,17034.37,0
Thomson,462,France,Male,39,4,140133.08,0,0,131304.45,0
Cross,685,Spain,Female,30,2,0,1,1,172576.43,1
Jones,850,France,Female,36,0,136980.23,1,1,99019.65,0
Walker,636,France,Female,48,3,120568.41,1,0,190160.04,1
De Salis,850,France,Female,27,7,43658.33,1,1,3025.49,0
Oliver,628,France,Female,37,9,0,1,1,34689.77,0
Lo Duca,798,France,Male,28,3,0,1,0,2305.27,0
Brookes,610,France,Female,57,7,72092.95,0,1,113228.82,1
Challis,591,France,Female,42,10,0,0,0,171099.22,0
Ibeabuchi,614,Spain,Female,37,9,0,1,1,62023.1,0
Iroawuchi,651,France,Male,35,0,181821.96,0,1,36923.67,1
Tyler,665,France,Male,25,7,90920.75,0,1,112256.57,0
Fan,570,France,Male,23,2,0,0,0,198830.98,0
Bates,631,Spain,Male,29,3,0,1,1,197963.46,0
Marsden,586,France,Male,32,1,0,0,0,31635.99,0
Dodgshun,691,France,Male,30,9,0,1,0,49594.02,0
Maclean,639,France,Male,35,8,0,1,0,170483.9,0
Blackall,698,France,Female,27,1,94920.71,1,1,40339.9,0
Mazzanti,733,France,Male,45,2,113939.36,1,0,3218.71,0
Amadi,850,France,Male,19,8,0,1,1,68569.89,0
Schoenheimer,618,France,Female,31,4,0,1,0,29176.04,0
Fiorentino,473,France,Female,25,6,110666.42,0,0,46758.42,0
Murray,490,France,Male,39,1,0,1,0,171060.01,1
Fan,754,France,Female,48,7,141819.02,1,0,93550.53,1
Cartwright,649,France,Female,56,8,156974.26,1,0,89405.26,1
Cremonesi,578,France,Male,50,5,151215.34,1,0,169804.4,0
White,690,Spain,Male,26,8,116318.23,1,1,83253.05,0
Sabbatini,610,France,Male,49,6,113882.33,1,0,195813.81,1
Patterson,596,France,Male,42,7,0,1,1,121568.37,0
Bromley,492,France,Female,48,6,127253.98,1,1,92144.09,1
Doherty,575,Spain,Male,41,2,100062.39,0,0,126307.25,0
Ifeatu,569,France,Male,66,2,0,1,0,130784.2,1
Bergamaschi,674,Spain,Female,41,4,126605.14,1,1,166694.93,0
Shubina,507,France,Female,31,0,106942.08,0,1,44001.11,0
Lung,457,Spain,Male,44,7,0,0,0,185992.36,0
Kinder,584,France,Female,41,3,88594.93,1,0,178997.89,0
Terry,744,France,Male,29,6,123737.04,1,0,141558.04,0
Shepherdson,687,France,Female,35,1,110752.15,1,1,47921.22,0
Short,688,Spain,Female,46,3,0,0,1,104902.68,0
Zetticci,519,France,Male,34,5,0,1,0,68479.6,0
Belov,733,Spain,Female,38,5,0,1,1,1271.51,0
Knight,666,Spain,Male,43,5,0,1,0,29346.1,0
Burson,511,Spain,Female,40,1,0,1,1,184118.73,0
Nicholls,705,France,Female,54,3,125889.3,1,0,96013.5,1
Hs?eh,544,France,Male,48,10,78314.63,1,1,103713.93,1
Ku,564,France,Female,36,7,206329.65,1,1,46632.87,1
T'ien,702,France,Male,40,7,145536.9,0,1,135334.24,0
H?,658,France,Male,31,2,77082.65,0,0,13482.28,0
Vasilieva,654,France,Female,24,8,145081.73,1,1,130075.07,0
Omeokachie,649,France,Female,41,4,115897.73,1,0,143544.48,0
Napolitano,597,Spain,Male,24,0,108058.07,1,1,187826.11,0
Hopwood,782,France,Male,33,7,191523.09,1,1,167058.75,0
Bergamaschi,644,France,Male,38,3,0,1,1,79928.41,0
Lindeman,679,Spain,Female,39,7,91187.9,0,1,6075.36,0
McKinley,678,France,Female,60,2,0,1,1,43821.56,0
Sergeyev,806,France,Male,34,5,113958.55,0,1,32125.98,0
Sanchez,668,Spain,Male,43,1,147167.25,0,0,141679.73,0
Muomelu,659,France,Male,29,9,82916.48,1,1,84133.48,0
Murray,660,France,Male,34,1,0,1,0,9692.58,0
Ibekwe,601,France,Female,37,5,0,0,0,20708.6,0
McVey,781,France,Female,48,0,57098.96,1,0,85644.06,1
White,628,France,Male,39,1,115341.19,1,1,107674.3,1
Patterson,751,France,Male,30,3,165257.2,0,0,134822.05,0
Mai,531,France,Female,37,1,0,1,0,4606.97,0
Han,647,France,Female,42,9,0,1,1,51362.82,0
Davidson,708,Spain,Male,46,7,68799.72,1,1,39704.14,0
Parkin,550,Spain,Male,39,2,116120.19,1,1,195638.13,0
McKissick,670,France,Male,33,1,0,1,1,86413.11,0
Horsfall,592,France,Female,31,2,84102.11,0,1,116385.24,0
Clapp,589,France,Female,50,4,0,0,1,182076.97,0
Azikiwe,725,France,Female,33,4,0,1,1,67879.8,0
Zubarev,570,France,Female,43,9,0,0,1,11417.26,0
Pisano,575,France,Male,46,1,0,1,1,65998.26,0
Coates,501,France,Male,25,6,104013.79,1,0,114774.35,0
Trentino,431,France,Male,42,8,120822.86,1,0,126153.24,0
MacDonnell,719,Spain,Male,40,4,128389.12,1,1,176091.31,0
Ermakov,850,France,Male,36,7,102800.72,1,1,87352.43,0
K?,554,France,Female,31,6,135470.9,1,0,107074.81,0
Hammonds,418,France,Male,36,7,90145.04,1,1,69157.93,0
Peppin,715,Spain,Male,31,7,0,1,1,149970.59,0
Ball,750,Spain,Female,33,3,161801.47,0,1,153288.97,1
Yeh,766,France,Male,37,2,99660.13,0,1,147700.78,0
L?,652,Spain,Female,38,6,123081.84,1,1,188657.97,0
Shih,658,France,Male,42,8,102870.93,0,1,103764.55,1
Greco,659,France,Female,37,1,151105.68,1,1,140934.57,0
Napolitano,574,France,Male,35,5,163856.76,1,1,15118.2,0
Zaytseva,611,France,Male,38,7,0,1,1,63202,0
Genovesi,738,Spain,Male,35,8,127290.61,1,0,16081.62,0
Angelo,571,France,Male,49,4,180614.04,0,0,523,0
Waters,686,France,Female,44,7,55053.62,1,0,181757.19,0
Maclean,679,Spain,Male,33,4,96110.22,1,0,1173.23,0
Seleznyova,617,Spain,Female,46,3,106521.49,0,1,86587.37,0
Fontenot,673,France,Male,39,7,82255.51,1,0,109545.56,0
Reid,745,France,Female,33,1,0,1,1,174431.01,0
Fraser,677,France,Female,26,3,102395.79,1,0,119368.99,0
Tuan,613,Spain,Male,39,8,118201.41,1,0,23315.59,0
Howarth,576,France,Female,55,6,44582.07,0,1,67539.85,1
Davis,584,Spain,Female,30,5,0,1,1,185201.58,0
Gorbunov,663,France,Male,22,6,0,0,1,131827.15,0
Gentry,466,France,Male,26,9,105522.06,1,0,10842.46,0
Chiu,510,France,Female,50,7,123936.54,1,1,23768.01,0
Sunderland,619,Spain,Female,38,6,0,1,1,117616.29,0
Fan,696,France,Female,66,7,119499.42,1,1,174027.3,0
Parry,554,France,Female,44,9,135814.7,0,0,115091.38,0
Niu,595,France,Male,52,9,0,1,1,106340.66,1
Zuyev,659,France,Male,39,8,106259.63,1,1,198103.32,0
Ijendu,662,France,Male,44,8,0,1,1,175314.87,0
Bird,556,Spain,Male,38,2,115463.16,1,0,150679.65,0
Palmer,701,Spain,Female,39,9,0,1,1,110043.88,0
Y?,587,Spain,Male,42,5,120233.83,1,0,194890.33,0
Nicholson,571,France,Female,47,7,0,0,0,112366.98,0
Adams,539,France,Female,40,7,81132.21,1,0,167289.82,0
Cocci,644,France,Female,34,10,122196.99,1,1,182099.71,0
Kuo,572,France,Male,39,4,112290.22,1,0,49373.97,1
Trevisani,753,France,Female,50,4,0,1,1,861.4,0
Kuo,706,France,Male,35,5,0,1,1,81718.37,0
H?,588,France,Male,44,8,154409.74,1,0,49324.03,1
Thomson,825,France,Male,32,9,0,0,0,9751.03,0
Knorr,627,Spain,Male,48,1,132759.8,1,0,78899.22,0
Manfrin,532,France,Male,60,5,76705.87,0,1,13889.73,0
Hayes,764,France,Female,44,1,0,1,1,11467.38,0
Shao,700,France,Female,36,4,0,1,0,130789.15,0
Sinclair,660,France,Male,41,3,0,1,1,108665.89,0
Bradshaw,518,France,Male,29,9,125961.74,1,0,160303.08,1
Castiglione,557,France,Female,39,7,49572.73,1,0,115287.99,1
Hurst,639,France,Female,35,1,103015.12,1,1,139094.12,0
Adamson,557,France,Female,24,4,0,0,0,20515.72,0
James,633,France,Female,32,1,104001.38,0,1,36642.65,0
Pavlova,623,Spain,Female,50,2,87116.71,1,1,104382.11,0
Davey,611,France,Male,68,5,82547.11,1,1,146448.01,0
Barrett,666,Spain,Female,47,5,0,0,0,166650.9,1
Dolgorukova,521,France,Male,27,4,121325.84,1,1,164223.7,1
Johnson,775,France,Male,28,9,111167.7,1,0,149331.01,0
Manna,681,France,Male,48,5,139714.4,0,0,73066.72,0
Hou,564,France,Female,32,10,139875.2,1,0,15378.23,0
Okeke,646,France,Female,44,2,113063.83,0,0,53072.49,1
Kodilinyechukwu,670,France,Female,50,8,138340.06,0,1,3159.15,0
Esposito,751,France,Male,43,1,114974.24,1,0,125920.54,0
Boyle,544,France,Female,33,6,0,1,1,124113.04,0
Hsiung,639,France,Female,38,5,0,0,0,93716.38,0
Kennedy,635,France,Female,65,5,117325.54,1,0,155799.86,1
Norton,672,France,Female,28,6,0,0,1,8814.69,0
Zakharov,639,France,Female,35,8,0,0,0,164453.98,0
Chimaraoke,697,France,Female,25,1,0,0,0,87803.32,0
Small,850,Spain,Male,44,8,0,1,1,183617.32,0
McGregor,748,France,Female,34,8,0,1,0,53584.03,0
Brown,463,Spain,Female,35,2,0,1,1,1950.93,0
Frederickson,572,France,Female,30,6,0,0,1,175025.27,0
Wood,741,Spain,Male,50,1,78737.61,1,1,13018.96,0
Smith,646,Spain,Male,25,5,182876.88,1,1,42537.59,1
Harris,805,France,Male,50,9,130023.38,1,0,62989.82,1
Hall,637,France,Male,36,2,152606.82,1,1,71692.8,0
Pickworth,651,France,Male,28,7,0,1,0,823.96,0
Porter,672,France,Male,28,4,167268.98,1,1,169469.3,0
Storey,493,France,Male,54,3,167831.88,1,0,150159.95,1
Li,524,France,Male,29,9,144287.6,1,0,32063.3,0
McGill,624,France,Female,45,5,151855.33,1,0,68794.15,0
Sinclair,569,Spain,Female,51,3,0,1,0,75084.96,1
Horton,677,France,Female,27,2,0,0,1,114685.92,0
Sal,464,France,Male,37,4,155994.15,0,0,143665.44,0
Murray,718,France,Male,26,7,147527.03,0,0,51099.56,0
Giles,594,France,Female,53,4,0,1,0,5408.74,1
Brown,574,France,Male,33,8,100267.03,1,0,103006.27,0
Okechukwu,478,Spain,Male,48,0,83287.05,0,1,44147.95,1
White,615,Spain,Male,41,4,0,0,1,149278.96,0
Kirillova,651,Spain,Male,45,4,0,0,0,193009.21,0
Lawson,465,France,Male,53,1,117438.17,0,0,74898.8,1
Sarratt,558,France,Female,56,7,121235.05,1,1,116253.1,0
Hay,540,France,Male,37,3,129965.18,0,0,19374.08,0
Lin,568,France,Male,46,8,150836.92,0,0,64516.8,1
Ozerova,630,France,Male,31,0,0,1,1,34475.14,0
Lambert,523,France,Male,60,1,163894.35,0,1,57061.71,0
Bulgakov,678,France,Female,48,2,0,1,1,32301.88,0
He,438,France,Male,38,2,0,1,0,136859.55,0
Uchechukwu,544,France,Male,44,1,0,0,0,69244.24,0
Robertson,595,France,Male,34,2,87967.42,0,1,156309.52,0
Leworthy,678,France,Male,26,3,0,1,0,4989.33,0
Onyemachukwu,850,France,Female,36,6,0,1,1,190194.95,0
Rivero,589,France,Female,20,2,121093.29,1,0,3529.72,0
Lai,785,Spain,Female,31,2,121691.54,0,0,81778.72,0
Feng,563,Spain,Male,57,6,0,1,1,39297.48,0
Hornung,602,France,Female,39,6,154121.32,1,0,176614.86,1
Schiavone,591,France,Male,29,6,0,1,1,108684.65,0
Barnet,643,Spain,Male,43,1,0,1,1,145764.4,0
Dennys,605,France,Female,32,5,0,1,1,42135.28,0
Ritchie,755,France,Male,43,6,165048.5,1,0,16929.41,1
Lo,769,Spain,Male,38,6,0,0,0,104393.78,0
Yuriev,620,France,Female,33,9,127638.35,1,1,192717.57,0
Howarth,725,France,Male,31,8,0,1,1,59650.42,0
Gibson,818,France,Female,72,8,135290.42,1,1,63729.72,0
Zikoranachidimma,624,France,Female,71,4,170252.05,1,1,73679.59,1
Mason,669,France,Female,35,4,108269.2,1,0,174969.92,0
Rizzo,712,France,Female,32,1,0,1,0,1703.58,0
Thomson,603,France,Female,35,9,145623.36,1,0,163181.62,0
Ignatyev,597,France,Female,41,4,145809.53,1,1,52319.26,0
Ferguson,580,France,Male,76,2,130334.84,1,1,51672.08,0
Woods,718,France,Female,39,3,0,1,1,145355.11,0
Sung,527,Spain,Male,53,8,0,1,1,51711.57,0
Lo,729,Spain,Female,42,1,0,1,1,149535.97,0
Burn,746,France,Female,24,4,0,0,1,94105,0
Russell,699,France,Female,54,3,111009.32,1,1,155905.79,1
Jen,759,France,Female,46,2,0,1,1,138380.11,0
Lo Duca,748,France,Female,39,3,157371.54,0,1,97734.3,0
Oluchi,698,Spain,Female,63,5,0,1,1,173576.71,0
Yao,686,France,Male,37,9,134560.62,1,0,27596.39,0
Gould,679,France,Male,40,1,0,1,1,16897.19,0
Salter,682,France,Male,36,5,72373.62,1,0,36895.99,0
Warner,778,France,Female,34,7,109564.1,0,1,113046.81,0
Salier,742,France,Female,25,4,132116.13,1,0,129933.5,0
Lazar,649,France,Male,24,7,101195.23,0,0,133091.32,0
Onyenachiya,763,France,Male,67,1,149436.73,0,1,106282.74,0
Findlay,595,France,Male,30,9,130682.11,1,1,57862.88,0
Gibbons,628,France,Female,51,10,115280.49,0,0,12628.61,1
McCawley,625,France,Female,36,8,129944.39,0,0,198914.8,0
Taylor,733,France,Male,36,5,0,1,1,109127.54,0
Yang,665,Spain,Female,32,10,0,1,1,22487.45,0
Okwudiliolisa,805,France,Male,56,6,151802.29,1,0,46791.09,1
Napolitano,725,France,Male,38,6,0,1,1,158697.28,0
Vavilov,554,France,Female,38,3,138731.95,1,1,194138.36,0
Teague,675,Spain,Female,35,8,155621.08,0,1,35177.31,0
Chiemenam,556,France,Female,54,4,150005.38,1,0,157015.5,1
Hughes,635,Spain,Female,48,2,0,1,1,136551.25,0
Cattaneo,601,France,Male,47,1,64430.06,0,1,96517.97,0
Davis,600,France,Male,53,7,106261.63,1,0,93629.66,1
Nekrasova,758,Spain,Male,40,3,0,0,0,96097.65,0
Loggia,606,France,Female,41,4,132670.53,1,0,156476.36,1
Combes,640,France,Female,67,3,0,0,1,42964.63,0
Onwuka,753,France,Female,38,1,117314.92,1,0,122021.33,1
Kharlamov,559,Spain,Male,38,3,145874.35,1,0,56311.39,1
Scott,754,Spain,Female,50,7,146777.44,0,1,150685.52,0
Lettiere,621,France,Male,51,4,109978.83,0,0,177740.58,1
Osonduagwuike,654,France,Female,37,5,0,0,1,71492.28,0
Wan,650,Spain,Male,24,8,108881.73,1,0,104492.83,0
Donaldson,831,Spain,Female,44,10,0,0,1,47729.33,0
Chukwufumnanya,519,France,Male,39,2,112957.26,1,0,97593.16,0
Ma,552,France,Female,42,8,103362.14,0,1,186869.58,1
Alexander,577,Spain,Male,41,4,89015.61,0,1,135227.23,0
Nkemjika,576,Spain,Male,45,5,133618.01,0,0,135244.87,0
Carroll,646,France,Male,40,5,93680.43,1,1,179473.26,0
Obioma,711,France,Female,45,1,97486.15,1,0,50610.62,0
Campbell,806,Spain,Female,37,2,137794.18,0,1,75232.02,0
Sims,670,France,Female,39,8,101928.51,0,0,89205.54,0
McKay,679,Spain,Female,28,9,0,0,1,61761.77,0
Huang,850,Spain,Female,39,6,0,1,0,103921.43,0
Campbell,670,France,Female,35,2,79585.96,0,1,198802.9,0
Boni,733,France,Female,24,3,161884.99,1,1,9617.24,0
Gorbunova,764,France,Female,39,1,129068.54,1,1,187905.12,0
Genovese,673,France,Female,42,4,0,1,0,121440.8,0
Landor,588,France,Male,49,6,132623.76,1,0,36292.94,1
Meng,564,Spain,Male,31,5,121461.87,1,1,20432.09,1
Wardell,715,France,Male,32,8,175307.32,1,0,187051.23,0
Williams,621,France,Male,31,7,136658.61,1,1,148689.13,0
Ofodile,796,Spain,Female,23,3,146584.19,0,0,125445.8,0
Clark,672,France,Male,34,6,0,0,0,22736.06,0
Lo,527,Spain,Female,46,10,131414.76,1,0,54947.51,0
Chukwuemeka,722,France,Female,38,3,0,0,1,167984.72,0
Lai,596,France,Male,34,4,99441.21,0,1,4802.27,0
Arcuri,746,France,Female,32,4,0,1,1,72909.75,0
Graham,523,France,Female,26,4,0,1,0,185488.81,0
Krylov,624,France,Male,44,3,0,1,0,88407.51,0
Henry,553,Spain,Male,38,1,181110.13,1,0,184544.59,0
Jamieson,850,Spain,Male,33,3,100476.46,1,1,136539.13,0
Moore,599,France,Male,33,2,51949.95,1,0,85045.92,0
Tan,492,France,Male,35,8,121063.49,0,0,85421.48,0
Thornton,707,Spain,Male,48,8,88441.64,1,1,119903.2,1
Macleod,743,France,Female,30,1,127023.39,1,1,138780.89,0
Rizzo,522,France,Male,41,5,144147.68,1,1,14789.9,0
Chukwukadibia,681,Spain,Female,57,2,173306.13,0,1,131964.66,0
Ts'ai,826,France,Female,49,0,0,0,0,178709.98,1
Lu,630,France,Female,28,8,106425.75,1,1,20344.84,0
Kent,430,France,Female,66,6,135392.31,1,1,172852.06,1
Black,806,France,Female,67,1,0,0,1,103945.58,0
Chukwubuikem,703,Spain,Male,39,6,152685.4,0,0,183656.12,0
McMillan,755,France,Female,38,1,82083.52,0,1,10333.78,0
Ngozichukwuka,612,Spain,Female,63,2,131629.17,1,0,122109.58,1
Y?an,719,France,Female,54,7,0,1,1,125041.52,0
Sung,554,France,Female,55,0,108477.27,0,1,140003,1
Macartney,683,France,Male,30,4,114779.35,0,0,183171.47,0
Ali,749,France,Male,41,5,57568.94,1,1,61128.29,0
Morley,724,Spain,Male,36,1,0,1,0,52462.25,0
Martin,770,Spain,Male,30,8,0,0,1,50839.85,0
Okorie,680,France,Male,37,4,0,1,0,61240.87,0
Ku,699,France,Female,32,4,110559.46,1,1,127429.56,0
